"unigram","freq"
"will",31697
"said",30618
"just",30081
"one",28848
"like",26994
"can",24584
"get",22527
"time",21591
"new",19282
"dont",17786
"good",17760
"now",17670
"day",16614
"know",16217
"people",16060
"love",15710
"back",14258
"see",13641
"first",13529
"make",13015
"also",12982
"going",12650
"think",12488
"well",12454
"last",12399
"great",12281
"much",11953
"two",11549
"year",11396
"really",11395
"way",11170
"even",10960
"got",10956
"today",10911
"want",10708
"work",10420
"still",10323
"right",10251
"years",10244
"need",9856
"thanks",9733
"thats",8928
"life",8886
"many",8843
"take",8679
"cant",8664
"say",8659
"come",8272
"made",8229
"never",8188
"little",8179
"home",8091
"may",8039
"best",7758
"week",7638
"next",7620
"night",7592
"things",7378
"school",7297
"something",7205
"game",7035
"didnt",6907
"lol",6867
"always",6758
"ive",6739
"around",6661
"another",6659
"every",6646
"better",6642
"happy",6559
"state",6523
"youre",6471
"world",6468
"show",6437
"look",6309
"big",6229
"long",6176
"since",5991
"man",5915
"feel",5858
"three",5772
"help",5661
"hope",5660
"city",5639
"sure",5597
"use",5583
"follow",5555
"thing",5508
"find",5494
"getting",5397
"days",5389
"ever",5376
"lot",5370
"ill",5343
"keep",5246
"team",5193
"says",5186
"house",5155
"place",5134
"tonight",5107
"family",5029
"put",5012
"part",4971
"let",4922
"though",4919
"give",4903
"thank",4841
"looking",4835
"might",4739
"old",4677
"end",4675
"away",4615
"start",4595
"morning",4553
